id,dateid,timeid,trading_symbol,comp_sentiment
638,37,181,BTC,-0.8308
639,37,241,BTC,0.9853
640,37,361,BTC,0.6166
641,37,541,BTC,0.9549
642,38,601,BTC,0.9918
643,38,661,BTC,0.9682
644,38,721,BTC,0.7906
645,38,841,BTC,0.4
646,38,901,BTC,0.4178
647,38,961,BTC,0.3873
648,38,121,BTC,0.5719
649,38,301,BTC,-0.0027
650,38,481,BTC,-0.5423
651,38,541,BTC,0.3669
652,39,661,BTC,-0.2719
653,39,721,BTC,0.9819
654,39,781,BTC,0.9985
655,39,841,BTC,0.4412
656,39,901,BTC,0.999
657,39,961,BTC,0.9985
658,39,1021,BTC,0.999
659,39,1081,BTC,0.3082
660,39,1141,BTC,0.9682
661,39,1201,BTC,0.9984
662,39,1261,BTC,0.6486
663,39,301,BTC,0.2273
664,39,361,BTC,0.9719
665,39,421,BTC,0.9823
666,39,541,BTC,0.7506
667,40,1,BTC,0.9826
668,40,661,BTC,0.9984
669,40,721,BTC,0.9818
670,40,781,BTC,0.9682
671,40,841,BTC,0.9682
672,40,901,BTC,0.9682
673,40,961,BTC,0.9995
674,40,1021,BTC,-0.0784
675,40,1081,BTC,0.1153
676,40,1141,BTC,0.9081
677,40,1201,BTC,0.328
678,40,1261,BTC,0
679,40,1321,BTC,0.2586
680,40,1381,BTC,0.4879
681,40,361,BTC,0.9792
682,40,541,BTC,0.9732
683,41,121,BTC,-0.9682
684,41,181,BTC,0.4049
685,41,301,BTC,0.0136
686,41,361,BTC,0.9985
687,41,421,BTC,0.9818
688,25,601,BTC,0.9766
689,25,721,BTC,0.9818
690,25,781,BTC,0.7717
691,25,841,BTC,-0.8126
692,25,901,BTC,0.9682
693,25,961,BTC,0.9818
694,25,1021,BTC,0.6808
695,25,1141,BTC,0.8862
696,25,1201,BTC,0.9705
697,25,1261,BTC,-0.5859
698,25,1321,BTC,0.9986
699,25,121,BTC,-0.5994
700,25,361,BTC,0.984
701,25,481,BTC,0.984
702,26,1141,BTC,-0.1484
703,26,1201,BTC,-0.9993
704,26,1261,BTC,-0.7269
705,26,1321,BTC,-0.0643
706,26,1381,BTC,0.9468
707,26,121,BTC,-0.997
708,26,361,BTC,0.984
709,26,421,BTC,-0.9944
710,27,601,BTC,-0.6597
711,27,661,BTC,-0.9978
712,27,721,BTC,-0.016
713,27,781,BTC,-0.5574
714,27,841,BTC,-0.3362
715,27,901,BTC,0.0737
716,27,961,BTC,-0.0175
717,27,1021,BTC,-0.0144
718,27,1081,BTC,0.9834
719,27,1141,BTC,0.9771
720,27,1201,BTC,0.4062
721,27,1261,BTC,-0.7506
722,27,1381,BTC,0.4108
723,27,241,BTC,-0.015
724,27,301,BTC,-0.5574
725,27,481,BTC,-0.5267
726,27,541,BTC,-0.5859
727,28,601,BTC,0.0534
728,28,661,BTC,0.9726
729,28,721,BTC,0.6434
730,28,781,BTC,0.2559
731,28,841,BTC,0.4191
732,28,901,BTC,0.3034
733,28,961,BTC,0.3082
734,28,1021,BTC,0.9842
735,28,1081,BTC,-0.0439
736,28,1141,BTC,0
737,28,1201,BTC,0.3074
738,28,1261,BTC,0.4561
739,28,1321,BTC,0.3177
740,28,1381,BTC,0.4547
741,28,241,BTC,0.4397
742,28,301,BTC,0.8934
743,28,361,BTC,-0.5574
744,28,421,BTC,0.7906
745,28,481,BTC,0.5267
746,29,1,BTC,0.3721
747,29,601,BTC,-0.0008
748,29,661,BTC,0.4266
749,29,721,BTC,0.328
750,29,781,BTC,0.4266
751,29,841,BTC,0.328
752,29,901,BTC,0.0015
753,29,961,BTC,0.0015
754,29,1021,BTC,-0.0009
755,29,1081,BTC,-0.0008
756,29,1141,BTC,0.0017
757,29,61,BTC,0
758,29,1201,BTC,0.0015
759,29,1261,BTC,0.0078
760,29,1321,BTC,0.9985
761,29,1381,BTC,0.2268
762,29,121,BTC,-0.2064
763,29,181,BTC,0
764,29,241,BTC,0.997
765,29,301,BTC,0.0015
766,29,361,BTC,0.9325
767,29,421,BTC,0.0015
768,29,481,BTC,-0.0008
769,29,541,BTC,0.0015
770,30,1,BTC,-0.1998
771,30,601,BTC,0.3433
772,30,661,BTC,0.3115
773,30,721,BTC,0.0675
774,30,781,BTC,0.6249
775,30,961,BTC,-0.0862
776,30,1021,BTC,0.9882
777,30,1081,BTC,-0.7906
778,30,1141,BTC,-0.0212
779,30,61,BTC,0.5719
780,30,1261,BTC,0.3499
781,30,121,BTC,0.9682
782,30,241,BTC,-0.0007
783,30,301,BTC,-0.0007
784,30,361,BTC,-0.5574
785,30,421,BTC,-0.5574
786,31,601,BTC,-0.9993
787,31,661,BTC,-0.4512
788,31,721,BTC,0.0064
789,31,781,BTC,-0.2726
790,31,841,BTC,0.6124
791,31,901,BTC,0.3246
792,31,961,BTC,0.7906
793,31,1021,BTC,-0.2407
794,31,1081,BTC,-0.9993
795,31,1141,BTC,0.4331
796,31,61,BTC,0.997
797,31,1201,BTC,-0.9325
798,31,181,BTC,0.7906
799,31,301,BTC,0.997
800,31,541,BTC,0.5574
801,32,601,BTC,-0.9968
802,32,661,BTC,0.3688
803,32,721,BTC,0.9712
804,32,781,BTC,0.0113
805,32,841,BTC,-0.9993
806,32,901,BTC,0.9818
807,32,961,BTC,0.0982
808,32,1021,BTC,0.9682
809,32,1081,BTC,-0.0481
810,32,1141,BTC,-0.6705
811,32,61,BTC,0.4108
812,32,1201,BTC,0.5994
813,32,1261,BTC,0.5267
814,32,1321,BTC,0.2268
815,32,241,BTC,0.4723
816,32,361,BTC,-0.5574
817,32,421,BTC,0.1131
818,32,481,BTC,0.055
819,32,541,BTC,0.6124
820,33,1,BTC,0.2488
821,33,61,BTC,-0.6808
822,33,121,BTC,-0.5859
823,33,181,BTC,-0.6705
824,33,301,BTC,-0.9997
825,33,361,BTC,-0.6705
826,33,421,BTC,0.9477
827,33,541,BTC,-0.3371
828,35,721,BTC,0.5046
829,35,781,BTC,-0.001
830,35,841,BTC,0.9682
831,35,901,BTC,0.4199
832,35,961,BTC,0.9985
833,35,1021,BTC,0.9985
834,35,1081,BTC,0.2312
