time,close,compound,sma,ema
2021-02-12 04:00:00,47271.55,0.9843,0.4524,0.3893
2021-02-12 05:00:00,47257.09,0.0044,0.4521,0.3295
2021-02-12 06:00:00,47380.16,-0.9970,0.3833,0.1279
2021-02-12 07:00:00,47318.81,None,0.3619,0.1279
2021-02-12 08:00:00,47117.86,None,0.3390,0.1279
2021-02-12 09:00:00,47337.0,0.8225,0.3363,0.2594
2021-02-12 10:00:00,47381.16,None,0.3207,0.2594
2021-02-12 11:00:00,47562.42,None,0.3207,0.2594
2021-02-12 12:00:00,47669.82,0.7906,0.3381,0.3790
2021-02-12 13:00:00,47871.4,0.9974,0.3616,0.5066
2021-02-12 14:00:00,46547.5,0.4549,0.3649,0.4967
2021-02-12 15:00:00,47021.05,None,0.3649,0.4967
2021-02-12 16:00:00,47614.4,None,0.3649,0.4967
2021-02-12 17:00:00,47713.82,0.9970,0.3859,0.6108
2021-02-12 18:00:00,47269.25,None,0.3859,0.6108
2021-02-12 19:00:00,47272.95,0.4749,0.3888,0.5791
2021-02-12 20:00:00,47577.49,0.9360,0.4059,0.6547
2021-02-12 21:00:00,47860.54,-0.3265,0.3837,0.4620
2021-02-12 22:00:00,47841.17,0.9716,0.4010,0.5561
2021-02-12 23:00:00,47287.6,0.6705,0.4087,0.5762
2021-02-13 00:00:00,47459.54,None,0.4052,0.5762
2021-02-13 01:00:00,47626.98,None,0.3882,0.5762
2021-02-13 02:00:00,47839.77,None,0.3882,0.5762
2021-02-13 03:00:00,47829.22,None,0.4314,0.5762
2021-02-13 04:00:00,47904.7,None,0.4662,0.5762
2021-02-13 05:00:00,47888.0,None,0.5150,0.5762
2021-02-13 06:00:00,47728.26,None,0.5150,0.5762
2021-02-13 07:00:00,46995.72,None,0.5150,0.5762
2021-02-13 08:00:00,47429.93,None,0.5005,0.5762
2021-02-13 09:00:00,47205.53,None,0.5005,0.5762
2021-02-13 10:00:00,46709.17,0.7906,0.5101,0.6746
2021-02-13 11:00:00,46589.2,None,0.4971,0.6746
2021-02-13 12:00:00,46879.81,None,0.4792,0.6746
